station_name,lat,lng,type
Jurong East,1.333207,103.742308,MRT
Bukit Batok,1.349069,103.749596,MRT
Bukit Gombak,1.359043,103.751863,MRT
Choa Chu Kang,1.385417,103.744316,MRT
Yew Tee,1.397383,103.747523,MRT
Kranji,1.425302,103.762049,MRT
Marsiling,1.432579,103.77415,MRT
Woodlands,1.436984,103.786406,MRT
Admiralty,1.436984,103.786406,MRT
Sembawang,1.449133,103.82006,MRT
Yishun,1.4296659999999999,103.835044,MRT
Khatib,1.4174229999999999,103.832995,MRT
Yio Chu Kang,1.381765,103.844923,MRT
Ang Mo Kio,1.370025,103.849588,MRT
Bishan,1.3509200000000001,103.848206,MRT
Braddell,1.34055,103.847098,MRT
Toa Payoh,1.3324049999999998,103.847436,MRT
Novena,1.3200889999999998,103.843405,MRT
Newton,1.3138299999999998,103.838021,MRT
Orchard,1.304041,103.83179200000001,MRT
Somerset,1.300508,103.83842800000001,MRT
Dhoby Ghaut,1.299169,103.845799,MRT
City Hall,1.2931190000000001,103.852089,MRT
Raffles Place,1.284001,103.85155,MRT
Marina Bay,1.276481,103.854598,MRT
Marina South Pier,1.2714219999999998,103.86358100000001,MRT
Tuas Link,1.340371,103.636866,MRT
Tuas West Road,1.330075,103.639636,MRT
Tuas Crescent,1.321091,103.649075,MRT
Gul Circle,1.319809,103.66083,MRT
Joo Koon,1.327826,103.678318,MRT
Pioneer,1.337645,103.69742,MRT
Boon Lay,1.3386200000000001,103.70581700000001,MRT
Lakeside,1.344264,103.72079699999999,MRT
Chinese Garden,1.342436,103.732582,MRT
Clementi,1.314925,103.765341,MRT
Dover,1.3114139999999999,103.778596,MRT
Buona Vista,1.307337,103.79004599999999,MRT
Commonwealth,1.302439,103.798326,MRT
Queenstown,1.294867,103.805902,MRT
Redhill,1.289674,103.816787,MRT
Tiong Bahru,1.286555,103.82695600000001,MRT
Outram Park,1.280319,103.83945899999999,MRT
Tanjong Pagar,1.276385,103.84677099999999,MRT
Bugis,1.3007469999999999,103.855873,MRT
Lavender,1.307577,103.863155,MRT
Kallang,1.311532,103.871372,MRT
Aljunied,1.316474,103.882762,MRT
Paya Lebar,1.318214,103.89313299999999,MRT
Eunos,1.319809,103.902888,MRT
Kembangan,1.320998,103.913433,MRT
Bedok,1.324043,103.930205,MRT
Tanah Merah,1.327309,103.94647900000001,MRT
Simei,1.343237,103.953343,MRT
Tampines,1.354467,103.943325,MRT
Pasir Ris,1.373234,103.949343,MRT
Expo,1.3344790000000002,103.96145899999999,MRT
Changi Airport,1.3576219999999999,103.988487,MRT
HarbourFront,1.2654530000000002,103.820514,MRT
Chinatown,1.2845659999999999,103.843626,MRT
Clarke Quay,1.288949,103.847521,MRT
Little India,1.306691,103.849396,MRT
Farrer Park,1.3126790000000002,103.854872,MRT
Boon Keng,1.320091,103.861655,MRT
Potong Pasir,1.331316,103.868779,MRT
Woodleigh,1.339202,103.870727,MRT
Serangoon,1.3498620000000001,103.873635,MRT
Kovan,1.360207,103.885163,MRT
Hougang,1.371406,103.892533,MRT
Buangkok,1.382991,103.89334699999999,MRT
Sengkang,1.3916819999999999,103.895475,MRT
Punggol,1.405191,103.902367,MRT
Bras Basah,1.296978,103.85071500000001,MRT
Esplanade,1.293995,103.855396,MRT
Promenade,1.294063,103.860156,MRT
Nicoll Highway,1.300292,103.863449,MRT
Stadium,1.3028469999999999,103.875417,MRT
Mountbatten,1.306106,103.883175,MRT
Dakota,1.308474,103.888825,MRT
MacPherson,1.326769,103.889901,MRT
Tai Seng,1.33594,103.88770600000001,MRT
Bartley,1.3429229999999999,103.87966,MRT
Lorong Chuan,1.35153,103.86495699999999,MRT
Marymount,1.349089,103.839116,MRT
Caldecott,1.337649,103.83962700000001,MRT
Botanic Gardens,1.322387,103.81490500000001,MRT
Farrer Road,1.317606,103.807711,MRT
Holland Village,1.311189,103.79611899999999,MRT
one-north,1.299854,103.787584,MRT
Kent Ridge,1.2936290000000001,103.784441,MRT
Haw Par Villa,1.2831489999999999,103.781991,MRT
Pasir Panjang,1.276111,103.791893,MRT
Labrador Park,1.2721799999999999,103.802557,MRT
Telok Blangah,1.270769,103.809878,MRT
Bayfront,1.2813709999999998,103.858998,MRT
Bukit Panjang,1.37834,103.762452,MRT
Cashew,1.369997,103.764569,MRT
Hillview,1.363185,103.767371,MRT
Beauty World,1.341607,103.77568199999999,MRT
King Albert Park,1.335721,103.783203,MRT
Sixth Avenue,1.331221,103.79718000000001,MRT
Tan Kah Kee,1.325826,103.807959,MRT
Stevens,1.3200120000000002,103.825964,MRT
Rochor,1.303601,103.852581,MRT
Downtown,1.27949,103.852802,MRT
Telok Ayer,1.2822850000000001,103.848584,MRT
Fort Canning,1.291631,103.84462099999999,MRT
Bencoolen,1.298477,103.84998399999999,MRT
Jalan Besar,1.3055510000000001,103.85544300000001,MRT
Bendemeer,1.313674,103.863098,MRT
Geylang Bahru,1.321479,103.87145699999999,MRT
Mattar,1.326878,103.88330400000001,MRT
Ubi,1.330008,103.898911,MRT
Kaki Bukit,1.335076,103.90905699999999,MRT
Bedok North,1.3352680000000001,103.918054,MRT
Bedok Reservoir,1.336595,103.93307,MRT
Tampines West,1.345583,103.938244,MRT
Tampines East,1.3563100000000001,103.955471,MRT
Upper Changi,1.3422180000000001,103.961505,MRT
South View,1.380299,103.745286,LRT
Keat Hong,1.3786040000000002,103.74905799999999,LRT
Teck Whye,1.376738,103.753665,LRT
Phoenix,1.378798,103.758021,LRT
Senja,1.382852,103.762312,LRT
Jelapang,1.386703,103.764547,LRT
Segar,1.387713,103.769599,LRT
Fajar,1.3845020000000001,103.770862,LRT
Bangkit,1.3802809999999999,103.772576,LRT
Pending,1.376223,103.771277,LRT
Petir,1.377828,103.76655,LRT
Compassvale,1.394615,103.90044300000001,LRT
Rumbia,1.391553,103.905947,LRT
Bakau,1.38804,103.905412,LRT
Kangkar,1.3839569999999999,103.90216,LRT
Ranggung,1.384116,103.897386,LRT
Cheng Lim,1.396332,103.89379,LRT
Farmway,1.397178,103.88916800000001,LRT
Kupang,1.3982709999999998,103.881283,LRT
Thanggam,1.397378,103.87561,LRT
Fernvale,1.392033,103.87625600000001,LRT
Layar,1.392141,103.880022,LRT
Tongkang,1.389519,103.885829,LRT
Renjong,1.386827,103.890541,LRT
Cove,1.399534,103.905792,LRT
Meridian,1.397002,103.908884,LRT
Coral Edge,1.39392,103.912633,LRT
Riviera,1.39454,103.91605600000001,LRT
Kadaloor,1.399633,103.916536,LRT
Oasis,1.402304,103.912736,LRT
Damai,1.4052930000000001,103.908606,LRT
Sam Kee,1.409808,103.90491999999999,LRT
Teck Lee,1.412783,103.906565,LRT
Punggol Point,1.416932,103.90668000000001,LRT
Samudera,1.4159549999999999,103.902185,LRT
Nibong,1.411865,103.90032099999999,LRT
Sumang,1.408501,103.898605,LRT
Soo Teck,1.4054360000000001,103.897287,LRT
